"ID_VOTACAO","DATA","dem","gov","minoria","sd","pcdob","pdt","pen","phs","pmdb","pmn","pp","pps","pr","prb","pros","prp","prtb","psb","psc","psd","psdb","psdc","psl","psol","pt","ptb","ptc","ptdob","ptn","pv","resultado","HORA","ORIENTACAO_GOVERNO","TIPO","NUMERO","ANO","EMENTA","O_QUE_FOI_VOTADO","LINGUAGEM_COMUM"
"0112611f358b0e425e56287f207263ea",150520,"Liberado","Sim","Liberado","Sim","Não","Liberado","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Liberado","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Liberado","Sim","20:29:00","Sim","MPV",668,2015,"Altera as Leis nºs 10.865, de 30 de abril de 2004, para elevar alíquotas da Contribuição para o PIS/Pasep-Importação e da Cofins-Importação, 11.941, de 27 de maio de 2009, 11.079, de 30 de dezembro de 2004, 10.925, de 23 de julho de 2004, 11.051, de 29 de dezembro de 2004, 7.827, de 27 de setembro de 1989, 8.212, de 24 de julho de 1991, 8.935, de 18 de novembro de 1994, 10.150, de 21 de dezembro de 2000, 12.810, de 15 de maio de 2013, 5.861, de 12 de dezembro de 1972, 13.043, de 13 de novembro de 2014, 10.522, de 19 de julho de 2002, 12.469, de 26 de agosto de 2011, 12.995, de 18 de junho de 2014, 13.097, de 19 de janeiro de 2015, 10.996, de 15 de dezembro de 2004, 11.196, de 21 de novembro de 2005, 10.833, de 29 de dezembro de 2003, e 12.024, de 27 de agosto de 2009, e o Decreto-Lei nº 1.598, de 26 de dezembro de 1977; revoga dispositivos das Leis nºs 4.380, de 21 de agosto de 1964, 9.430, de 27 de dezembro de 1996, e 8.177, de 1º de março de 1991; e dá outras providências.","Aprovada a Redação Final, na parte referente ao art. 3º do Projeto de Lei de Conversão nº 6 (Relator: Dep. Manoel Junior (PMDB-PB)). Sim: 273; não: 184; abstenção: 7; total: 464.","MP 668 do ajuste fiscal – aumenta encargos trabalhistas – redação final"
"03c46dc496381c3be742de9b603a0c00",150326,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","11:19:00","Sim","REQ",1125,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 6701/2013.","Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.","Pena para diretores de presídio onde presos falam por celular"
"043c4680de868d0b0615f03cadfbc3f4",150317,"Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","19:52:00","Sim","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.",,"Regulamentação do trabalho doméstico"
"04c89b39adc4e9409af6122a55e5cf98",150317,"Não","Sim","Não","Não","Sim","Liberado","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","18:46:00","Sim","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.",,"Regulamentação do trabalho doméstico"
"05c65207cced7156ac342ee84c18e446",150324,"Liberado","Não","Liberado","Liberado","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","NA","Não","Não","Liberado","Sim","Não","Sim","Não","Não","Não","Não","Sim","Não","Não","Não","Liberado","Não","18:07:00","Não","REQ",1108,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PLP 34/2015","Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 170; não: 239; abstenção: 3; total: 412.","Processo penal específico para cada Estado"
"06631cf7d908a0366abed92a1188da62",150427,"Não","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Sim","Não","21:31:00","Não","PL",7735,2014,"Regulamenta o inciso II do § 1º e o § 4º do art. 225 da Constituição Federal, o Artigo 1,  a alínea j do Artigo 8, a alínea c do Artigo 10, o Artigo 15 e os §§ 3º e 4º do Artigo 16 da Convenção sobre Diversidade Biológica, promulgada pelo Decreto nº 2.519, de 16 de março de 1998; dispõe sobre o acesso ao patrimônio genético, sobre a proteção e o acesso ao conhecimento tradicional associado e sobre a repartição de benefícios para conservação e uso sustentável da biodiversidade; revoga a Medida Provisória nº 2.186-16, de 23 de agosto de 2001; e dá outras providências.","Rejeitada a Emenda nº 3. Sim: 135; não: 283; abstenções: 2; total: 420.","Atualiza  normas do acesso ao patrimônio genético de plantas e animais"
"07daa47a25c2baaa4a87febedd682be0",150519,"Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Liberado","Sim","21:36:00","Sim","MPV",668,2015,"Altera as Leis nºs 10.865, de 30 de abril de 2004, para elevar alíquotas da Contribuição para o PIS/Pasep-Importação e da Cofins-Importação, 11.941, de 27 de maio de 2009, 11.079, de 30 de dezembro de 2004, 10.925, de 23 de julho de 2004, 11.051, de 29 de dezembro de 2004, 7.827, de 27 de setembro de 1989, 8.212, de 24 de julho de 1991, 8.935, de 18 de novembro de 1994, 10.150, de 21 de dezembro de 2000, 12.810, de 15 de maio de 2013, 5.861, de 12 de dezembro de 1972, 13.043, de 13 de novembro de 2014, 10.522, de 19 de julho de 2002, 12.469, de 26 de agosto de 2011, 12.995, de 18 de junho de 2014, 13.097, de 19 de janeiro de 2015, 10.996, de 15 de dezembro de 2004, 11.196, de 21 de novembro de 2005, 10.833, de 29 de dezembro de 2003, e 12.024, de 27 de agosto de 2009, e o Decreto-Lei nº 1.598, de 26 de dezembro de 1977; revoga dispositivos das Leis nºs 4.380, de 21 de agosto de 1964, 9.430, de 27 de dezembro de 1996, e 8.177, de 1º de março de 1991; e dá outras providências.","Aprovado o Projeto de Lei de Conversão nº 6 de 2015, apresentado à Medida Provisória nº 668 de 2015, ressalvados os destaques. Sim: 323; não: 125; abstenção: 5; total: 453.","MP 668 do ajuste fiscal – aumenta encargos trabalhistas – texto principal"
"098152086d70e3a451dcbde78d826bf1",150310,"Não","Sim","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Não","Não","18:13:00","Sim","PL",3771,2012,"Dispõe sobre a política de valorização de longo prazo do salário mínimo.","Rejeitado o Requerimento. Sim: 170; não: 242; total: 412.","Reajuste do salário mínimo"
"09fefc062aca9f27798925bf189d5b70",150317,"Sim","Não","Sim","Sim","Não","Liberado","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","Não","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","19:28:00","Não","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.",,"Regulamentação do trabalho doméstico"
"0d445c725a66cb8e6094695d4ac11cb2",150512,"Sim","Não","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","Não","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","20:21:00","Não","MPV",663,2014,"Altera a Lei nº 12.096, de 24 de novembro de 2009.","Rejeitada a Emenda nº 11. Sim: 149; não: 285; total: 434.","Crédito para o BNDES - emenda A"
